timestamp,worker_count
0.0,2
0.03336666666666667,2
0.06673333333333334,3
0.10010000000000001,3
0.13346666666666668,3
0.16683333333333333,3
0.20020000000000002,3
0.23356666666666667,3
0.26693333333333336,3
0.3003,3
0.33366666666666667,3
0.3670333333333334,3
0.40040000000000003,3
0.4337666666666667,2
0.46713333333333334,2
0.5005000000000001,3
0.5338666666666667,3
0.5672333333333334,2
0.6006,2
0.6339666666666667,2
0.6673333333333333,2
0.7007000000000001,1
0.7340666666666668,2
0.7674333333333334,1
0.8008000000000001,1
0.8341666666666667,1
0.8675333333333334,0
0.9009000000000001,0
0.9342666666666667,0
0.9676333333333333,0
1.0010000000000001,1
1.0343666666666667,2
1.0677333333333334,1
1.1011,2
1.1344666666666667,2
1.1678333333333333,2
1.2012,1
1.2345666666666668,1
1.2679333333333334,1
1.3013000000000001,2
1.3346666666666667,1
1.3680333333333334,1
1.4014000000000002,1
1.4347666666666667,1
1.4681333333333335,0
1.5015,1
1.5348666666666668,1
1.5682333333333334,2
1.6016000000000001,1
1.6349666666666667,1
1.6683333333333334,2
1.7017,2
1.7350666666666668,1
1.7684333333333335,1
1.8018000000000003,2
1.8351666666666668,2
1.8685333333333334,2
1.9019000000000001,2
1.9352666666666667,1
1.9686333333333335,1
2.0020000000000002,1
2.0353666666666665,0
2.0687333333333333,0
2.1021,0
2.135466666666667,0
2.1688333333333336,0
2.2022,0
2.2355666666666667,1
2.2689333333333335,0
2.3023000000000002,0
2.3356666666666666,0
2.3690333333333333,0
2.4024,0
2.435766666666667,1
2.4691333333333336,2
2.5025,2
2.5358666666666667,2
2.5692333333333335,2
2.6026000000000002,2
2.635966666666667,2
2.6693333333333333,0
2.7027,0
2.736066666666667,0
2.7694333333333336,0
2.8028000000000004,1
2.8361666666666667,0
2.8695333333333335,0
2.9029000000000003,0
2.936266666666667,0
2.9696333333333333,1
3.003,2
3.036366666666667,0
3.0697333333333336,0
3.1031,1
3.1364666666666667,1
3.1698333333333335,3
3.2032000000000003,1
3.236566666666667,2
3.2699333333333334,3
3.3033,2
3.336666666666667,0
3.3700333333333337,1
3.4034,1
3.4367666666666667,1
3.4701333333333335,1
3.5035000000000003,1
3.536866666666667,1
3.5702333333333334,0
3.6036000000000006,2
3.636966666666667,2
3.6703333333333337,2
3.7037,2
3.7370666666666668,1
3.7704333333333335,2
3.8038000000000003,1
3.837166666666667,2
3.8705333333333334,1
3.9039,1
3.937266666666667,1
3.9706333333333337,0
4.0040000000000004,1
4.037366666666667,1
4.070733333333333,2
4.1041,2
4.137466666666667,2
4.170833333333333,2
4.2042,2
4.237566666666667,2
4.270933333333334,1
4.3043000000000005,1
4.337666666666667,1
4.371033333333333,1
4.4044,1
4.437766666666667,1
4.471133333333333,1
4.5045,1
4.537866666666667,1
4.571233333333334,1
4.6046000000000005,1
4.637966666666667,1
4.671333333333333,1
4.7047,1
4.738066666666667,1
4.771433333333333,1
4.8048,1
4.838166666666667,1
4.871533333333334,1
4.9049000000000005,1
4.938266666666667,1
4.971633333333334,1
5.005,1
5.038366666666667,1
5.071733333333333,1
5.1051,1
5.138466666666667,1
5.171833333333334,1
5.2052000000000005,1
5.238566666666667,1
5.271933333333334,1
5.3053,1
5.338666666666667,1
5.372033333333333,1
5.4054,1
5.438766666666667,2
5.472133333333334,2
5.5055000000000005,2
5.538866666666667,2
5.572233333333335,2
5.605600000000001,2
5.638966666666667,2
5.6723333333333334,1
5.7057,1
5.739066666666667,0
5.772433333333334,0
5.8058000000000005,0
5.839166666666667,1
5.872533333333334,1
5.9059,1
5.939266666666667,1
5.9726333333333335,1
6.006,1
6.039366666666667,1
6.072733333333334,1
6.1061000000000005,1
6.139466666666667,1
6.172833333333334,1
6.2062,1
6.239566666666667,1
6.2729333333333335,2
6.3063,1
6.339666666666667,1
6.373033333333334,1
6.4064000000000005,1
6.439766666666667,2
6.473133333333334,2
6.5065,2
6.539866666666667,1
6.5732333333333335,1
6.6066,0
6.639966666666667,1
6.673333333333334,2
6.7067000000000005,2
6.740066666666667,2
6.773433333333334,0
6.8068,1
6.840166666666667,1
6.8735333333333335,2
6.9069,1
6.940266666666667,1
6.973633333333334,1
7.007000000000001,1
7.040366666666667,2
7.073733333333334,2
7.1071,1
7.140466666666667,1
7.1738333333333335,1
7.207200000000001,0
7.240566666666667,0
7.273933333333334,1
7.307300000000001,1
7.340666666666667,2
7.374033333333334,0
7.4074,0
7.440766666666667,0
7.4741333333333335,1
7.5075,0
7.540866666666667,0
7.574233333333334,0
7.607600000000001,1
7.640966666666667,0
7.674333333333334,0
7.7077,0
7.741066666666667,2
7.7744333333333335,1
7.8078,1
7.841166666666667,2
7.874533333333334,2
7.907900000000001,1
7.941266666666667,2
7.974633333333334,2
8.008000000000001,1
8.041366666666667,1
8.074733333333334,1
8.1081,1
8.141466666666666,2
8.174833333333334,2
8.2082,2
8.241566666666667,2
8.274933333333333,2
8.308300000000001,2
8.341666666666667,1
8.375033333333334,2
8.4084,1
8.441766666666666,1
8.475133333333334,2
8.5085,2
8.541866666666667,0
8.575233333333333,1
8.608600000000001,2
8.641966666666667,1
8.675333333333334,1
8.7087,1
8.742066666666666,1
8.775433333333334,1
8.8088,1
8.842166666666667,1
8.875533333333333,1
8.908900000000001,1
8.942266666666667,1
8.975633333333334,1
9.009,1
9.042366666666666,1
9.075733333333334,1
9.1091,1
9.142466666666667,1
9.175833333333333,1
9.209200000000001,1
9.242566666666667,1
9.275933333333334,1
9.3093,1
9.342666666666666,1
9.376033333333334,1
9.4094,1
9.442766666666667,1
9.476133333333333,1
9.509500000000001,1
9.542866666666667,1
9.576233333333333,1
9.6096,0
9.642966666666668,1
9.676333333333334,1
9.7097,1
9.743066666666667,1
9.776433333333333,1
9.809800000000001,1
9.843166666666667,1
9.876533333333334,1
9.9099,1
9.943266666666668,1
9.976633333333334,1
10.01,1
10.043366666666667,1
10.076733333333333,1
10.110100000000001,1
10.143466666666667,1
10.176833333333335,1
10.2102,1
10.243566666666668,1
10.276933333333334,1
10.3103,1
10.343666666666667,1
10.377033333333333,1
10.410400000000001,1
10.443766666666667,1
10.477133333333335,1
10.5105,1
10.543866666666668,1
10.577233333333334,1
10.6106,1
10.643966666666667,1
10.677333333333333,1
10.710700000000001,1
10.744066666666667,1
10.777433333333335,1
10.8108,1
10.844166666666668,1
10.877533333333334,1
10.9109,1
10.944266666666667,1
10.977633333333333,1
11.011000000000001,1
11.044366666666667,1
11.077733333333335,1
11.1111,1
11.14446666666667,1
11.177833333333334,1
11.211200000000002,1
11.244566666666667,1
11.277933333333333,1
11.311300000000001,1
11.344666666666667,1
11.378033333333335,1
11.4114,1
11.444766666666668,1
11.478133333333334,1
11.5115,1
11.544866666666667,1
11.578233333333333,1
11.611600000000001,1
11.644966666666667,1
11.678333333333335,1
11.7117,1
11.745066666666668,1
11.778433333333334,1
11.8118,1
11.845166666666668,1
11.878533333333333,1
11.911900000000001,1
11.945266666666667,1
11.978633333333335,1
12.012,1
12.045366666666668,0
12.078733333333334,0
12.1121,0
12.145466666666668,0
12.178833333333333,1
12.212200000000001,1
12.245566666666667,1
12.278933333333335,1
12.3123,1
12.345666666666668,1
